first_passage_time_to_4
5
0
3
6
14
1
17
4
12
7
7
15
15
2
10
18
18
5
5
13
13
8
21
8
109
16
16
16
104
3
24
11
11
19
19
19
32
6
107
6
27
14
14
14
102
9
22
22
22
9
9
110
110
17
30
17
30
17
17
105
105
4
25
25
25
12
12
12
100
20
113
20
12
20
20
33
33
7
20
108
108
7
7
28
28
15
28
15
90
15
15
103
103
10
116
23
23
23
23
23
85
10
36
10
98
111
111
111
67
18
10
31
31
18
18
31
31
18
93
18
44
106
106
106
44
5
119
26
26
26
26
26
39
13
88
13
39
13
13
101
101
21
114
114
114
21
21
13
13
21
34
21
83
34
34
34
52
8
96
21
21
109
109
109
65
8
47
8
122
29
29
29
78
16
29
29
29
16
16
91
91
16
42
16
42
104
104
104
42
11
117
117
117
24
24
24
117
24
16
24
37
24
24
86
86
11
37
37
37
11
11
99
99
112
24
112
50
112
112
68
68
19
50
11
11
32
32
32
125
19
81
19
125
32
32
32
50
19
19
94
94
19
19
45
45
107
45
107
63
107
107
45
45
6
120
120
120
27
27
27
76
27
120
27
19
27
27
40
40
14
27
89
89
14
14
40
40
14
40
14
58
102
102
102
40
22
27
115
115
115
115
115
53
22
71
22
115
14
14
14
40
22
35
35
35
22
22
84
84
35
128
35
35
35
35
53
53
9
22
97
97
22
22
22
141
110
48
110
22
110
110
66
66
9
110
48
48
9
9
123
123
30
123
30
123
30
30
79
79
17
123
30
30
30
30
30
48
17
43
17
43
92
92
92
43
17
17
43
43
17
17
43
43
105
61
105
56
105
105
43
43
12
30
118
118
118
118
118
118
25
56
25
74
25
25
118
118
25
17
17
17
25
25
38
38
25
38
25
131
87
87
87
131
12
131
38
38
38
38
38
30
12
56
12
51
100
100
100
38
113
25
25
25
113
113
51
51
113
25
113
51
69
69
69
95
20
113
51
51
12
12
12
38
33
126
33
126
33
33
126
126
20
33
82
82
20
20
126
126
33
33
33
25
33
33
51
51
20
46
20
20
95
95
95
139
20
46
20
139
46
46
46
95
108
20
46
46
108
108
64
64
108
59
108
33
46
46
46
59
7
33
121
121
121
121
121
59
28
121
28
121
28
28
77
77
28
28
121
121
28
28
20
20
28
20
28
46
41
41
41
134
15
41
28
28
90
90
90
41
15
134
15
28
41
41
41
85
15
41
41
41
15
15
59
59
103
54
103
28
103
103
41
41
23
28
28
28
116
116
116
28
116
54
116
116
116
116
54
54
23
72
72
72
23
23
116
116
15
54
15
67
15
15
41
41
23
129
36
36
36
36
36
67
23
129
23
129
85
85
85
129
36
23
129
129
36
36
36
36
36
28
36
28
54
54
54
